temperature,eDensity,gofnt
880841.8881415128,9081632653.061226,9.980453290924666e-26
923221.9520747317,9081632653.061226,1.1223622488111703e-25
967641.0537094537,9081632653.061226,1.2177840243067287e-25
1014197.2975401576,9081632653.061226,1.2725426317503847e-25
1062993.5081760285,9081632653.061226,1.2786157496283103e-25
1114137.4574404613,9081632653.061226,1.2337571650969713e-25
1167742.1023970542,9081632653.061226,1.1419432497160909e-25
1223925.834827758,9081632653.061226,1.0132090421814589e-25
1282812.7427142137,9081632653.061226,8.613634528478318e-26
1344532.8842997623,9081632653.061226,7.011480162871076e-26
1409222.5753374626,9081632653.061226,5.459529903617092e-26
1477024.690158485,9081632653.061226,4.0623153031828064e-26
1548088.9772258627,9081632653.061226,2.8846407910518044e-26
1622572.3898705235,9081632653.061226,1.951986923226323e-26
1700639.4329400521,9081632653.061226,1.2553944109667558e-26
1782462.5261258448,9081632653.061226,7.644278873337721e-27
1868222.3847710367,9081632653.061226,4.392437368409903e-27
1958108.4190003115,9081632653.061226,2.37849526480386e-27
2052319.1520530963,9081632653.061226,1.2130661653767398e-27
2151062.6587440567,9081632653.061226,5.856033976557151e-28
2254557.0250193435,9081632653.061226,2.7005607892943296e-28
2363030.8296234924,9081632653.061226,1.201418638619016e-28
2476723.6489408244,9081632653.061226,5.213664872246691e-29
2595886.586126396,9081632653.061226,2.2313923245402288e-29
2720782.8256950434,9081632653.061226,9.493388995604305e-30
2851688.2147934726,9081632653.061226,4.0393180160656224e-30
2988891.8724391717,9081632653.061226,1.7271292151999522e-30
3132696.828071686,9081632653.061226,7.439291806793731e-31
3283420.6908266563,9081632653.061226,3.2344302208714205e-31
3441396.3510106686,9081632653.061226,1.4205684604048816e-31
3606972.7153262887,9081632653.061226,6.304105871965247e-32
3780515.4774710797,9081632653.061226,2.826703490261826e-32
3962407.92581251,9081632653.061226,1.2802188368518275e-32
4153051.789922715,9081632653.061226,5.8537899198093856e-33
4352868.127842631,9081632653.061226,2.6998287990287532e-33
4562298.256035178,9081632653.061226,1.254610874900095e-33
4781804.724081485,9081632653.061226,5.867659723506644e-34
5011872.336272725,9081632653.061226,2.75862412822663e-34
501187.2336272725,11102040816.32653,2.3098981457460655e-27
525300.922235397,11102040816.32653,3.748653862970546e-27
550574.7959784886,11102040816.32653,5.885848218744739e-27
577064.6749995912,11102040816.32653,8.95378320625812e-27
604829.0651237764,11102040816.32653,1.3211809237940637e-26
633929.2870747296,11102040816.32653,1.8926332533124814e-26
664429.61190834,11102040816.32653,2.634131357273713e-26
696397.4029624328,11102040816.32653,3.56283144256652e-26
729903.2646361388,11102040816.32653,4.6838387292521264e-26
765021.19832752,11102040816.32653,5.982438118112678e-26
801828.7658738301,11102040816.32653,7.41789885015419e-26
840407.2608554034,11102040816.32653,8.91975102292795e-26
880841.8881415128,11102040816.32653,1.038465433658236e-25
923221.9520747317,11102040816.32653,1.1685798222210105e-25
967641.0537094537,11102040816.32653,1.2687583244944204e-25
1014197.2975401576,11102040816.32653,1.326673463465422e-25
1062993.5081760285,11102040816.32653,1.333873435975032e-25
1114137.4574404613,11102040816.32653,1.2879143574839129e-25
1167742.1023970542,11102040816.32653,1.1928461600697556e-25
1223925.834827758,11102040816.32653,1.0590623467534987e-25
1282812.7427142137,11102040816.32653,9.009308170279073e-26
1344532.8842997623,11102040816.32653,7.338330245368071e-26
1409222.5753374626,11102040816.32653,5.71775280239062e-26
1477024.690158485,11102040816.32653,4.257223114634906e-26
1548088.9772258627,11102040816.32653,3.0250132450091576e-26
